origin,destination
"Jackson, MS","Allentown, PA"
"Baltimore, MD","Brooklyn, NY"
"Buffalo, NY","Bowling Green, KY"
"Toledo, OH","Elizabeth, NJ"
"Green Bay, WI","Los Angeles, CA"
"Detroit, MI","Detroit, MI"
"Nashville, TN","Cape Girardeau, MO"
"Ft Wayne, IN","Columbus, OH"
"Savannah, GA","Savannah, GA"
"Bowling Green, KY","S Bend, IN"
"Joliet, IL","Bloomington, IL"
"Grand Rapids, MI","Detroit, MI"
"S Bend, IN","Bowling Green, KY"
"Indianapolis, IN","Winchester, VA"
"Baltimore, MD","Brooklyn, NY"
"Detroit, MI","Grand Rapids, MI"
"Toledo, OH","Detroit, MI"
"Chicago, IL","Allentown, PA"
"Harrisburg, PA","Winchester, VA"
"Atlanta, GA","Atlanta, GA"
"Baltimore, MD","Brooklyn, NY"
"Baltimore, MD","Brooklyn, NY"
"Reno, NV","Ontario, CA"
"Reno, NV","Ontario, CA"
"Green Bay, WI","St Louis, MO"
